0203,9499|0296,3500|0205,4372|0296,3500|I
0389,9499|0295,9500|0397,3811|0295,9500|AR
0389,9499|0288,5000|0396,4876|0288,5000|CJ
0389,9499|0281,0500|0398,2745|0281,0500|QO
0389,9499|0273,6000|0397,6753|0273,6000|RN
0389,9499|0266,1500|0397,3811|0266,1500|TQ
0389,9499|0258,7000|0397,3811|0258,7000|XR
0370,6999|0295,9500|0387,0602|0295,9500|949,60
0370,6999|0288,5000|0387,0602|0288,5000|475,10
0370,6999|0281,0500|0387,0602|0281,0500|399,00
0370,6999|0273,5999|0387,0602|0273,5999|542,70
0370,6999|0266,1499|0387,0602|0266,1499|399,00
0366,2499|0258,6999|0387,0721|0258,6999|1.955,10
0571,5999|0296,3499|0582,0110|0296,3499|0,00
0625,5999|0296,3499|0636,0110|0296,3499|0,00
0643,9499|0296,3499|0654,3610|0296,3499|0,00
0065,9499|0251,6499|0104,5876|0251,6499|TOUR: AMCOM
0221,9499|0240,2499|0229,3810|0240,2499|CA
0023,1999|0240,6499|0032,1237|0240,6499|139
0041,9499|0240,6499|0055,3249|0240,6499|TKTT
0065,9499|0240,6499|0095,6959|0240,6499|3146574623
0149,9499|0240,6499|0163,0253|0240,6499|FFFF
0262,7999|0240,6499|0288,0840|0240,6499| 18.286,50
0316,7999|0240,6499|0342,0840|0240,6499| 13.566,00
0790,7999|0240,6499|0816,0840|0240,6499| 18.286,50
0696,0999|0240,6499|0707,9983|0240,6499| 0,00
0113,9499|0240,6499|0137,4417|0240,6499|27NOV18
0532,7999|0240,6499|0558,0840|0240,6499| 13.566,00
0203,9499|0240,6499|0205,4372|0240,6499|I
0389,9499|0240,2499|0397,3811|0240,2499|AR
0389,9499|0232,7999|0396,4876|0232,7999|CJ
0389,9499|0225,3499|0398,2745|0225,3499|QO
0389,9499|0217,8999|0397,6753|0217,8999|RN
0389,9499|0210,4499|0397,3811|0210,4499|TQ
0389,9499|0202,9998|0397,3811|0202,9998|XR
0370,6999|0240,2498|0387,0602|0240,2498|949,60
0370,6999|0232,7998|0387,0602|0232,7998|475,10
0370,6999|0225,3498|0387,0602|0225,3498|399,00
0370,6999|0217,8998|0387,0602|0217,8998|542,70
0370,6999|0210,4498|0387,0602|0210,4498|399,00
0366,2499|0202,9998|0387,0721|0202,9998|1.955,10
0571,5999|0240,6498|0582,0110|0240,6498|0,00
0625,5999|0240,6498|0636,0110|0240,6498|0,00
0643,9499|0240,6498|0654,3610|0240,6498|0,00
0065,9499|0195,9498|0104,5876|0195,9498|TOUR: AMCOM
0221,9499|0184,5498|0229,3810|0184,5498|CA
0023,1999|0184,9498|0032,1237|0184,9498|139
0041,9499|0184,9498|0055,3249|0184,9498|TKTT
0065,9499|0184,9498|0095,6959|0184,9498|3146574624
0149,9499|0184,9498|0163,0253|0184,9498|FFFF
0262,7999|0184,9498|0288,0840|0184,9498| 18.286,50
0316,7999|0184,9498|0342,0840|0184,9498| 13.566,00
0790,7999|0184,9498|0816,0840|0184,9498| 18.286,50
0696,0999|0184,9498|0707,9983|0184,9498| 0,00
0113,9499|0184,9498|0137,4417|0184,9498|27NOV18
0532,7999|0184,9498|0558,0840|0184,9498| 13.566,00
