IATA Nº,Nº TICKET,FECHA,VOID,CIA,TARIFA,CONTADO,CREDITO,IMPUESTOS,IVA,COMISION,SUBTOTAL,NETO,OVER,FILE,(IVA),IVA COM,COMISION
12345678,9236057796,31-Mar,P,AR,     3096.00,     3096.00,0.00,2098.40,0.00,0.00,     5194.40,0.00,0.00,153503,0.00,0.00,0.00
12345678,9236057797,31-Mar,P,AR,     2487.00,     2487.00,0.00,1854.90,0.00,0.00,     4341.90,0.00,0.00,153503,0.00,0.00,0.00
12345678,9236057798,31-Mar,P,AR,     2487.00,     2487.00,0.00,1854.90,0.00,0.00,     4341.90,0.00,0.00,153503,0.00,0.00,0.00
12345678,9236074703,31-Mar,P,AR,     3096.00,0.00,     3096.00,2098.40,0.00,0.00,0.00,0.00,0.00,153755,0.00,0.00,0.00
12345678,9236074704,31-Mar,P,AR,     3096.00,0.00,     3096.00,2098.40,0.00,0.00,0.00,0.00,0.00,153755,0.00,0.00,0.00
12345678,9236074705,31-Mar,P,AR,     2487.00,0.00,     2487.00,1854.90,0.00,0.00,0.00,0.00,0.00,153755,0.00,0.00,0.00
12345678,9236074706,31-Mar,P,AR,     2487.00,0.00,     2487.00,1854.90,0.00,0.00,0.00,0.00,0.00,153755,0.00,0.00,0.00
12345678,9236074707,31-Mar,P,AR,     4225.00,0.00,     4225.00,2474.50,0.00,    126.75,     -126.75,0.00,    295.75,153644,0.00,0.00,    126.75
12345678,9236074769,01-Abr,P,AR,     1767.00,     1767.00,0.00,343.28,0.00,     53.01,     2057.27,0.00,0.00,153882,    188.32,0.00,     53.01
12345678,9236074772,01-Abr,P,AR,     3096.00,     3096.00,0.00,2098.40,0.00,0.00,     5194.40,0.00,0.00,153147,0.00,0.00,0.00
12345678,9236074773,01-Abr,P,AR,     3096.00,     3096.00,0.00,2098.40,0.00,0.00,     5194.40,0.00,0.00,153147,0.00,0.00,0.00
12345678,9236074774,01-Abr,P,AR,     2487.00,     2487.00,0.00,1854.90,0.00,0.00,     4341.90,0.00,0.00,153147,0.00,0.00,0.00
12345678,9236074775,01-Abr,P,AR,     2487.00,     2487.00,0.00,1854.90,0.00,0.00,     4341.90,0.00,0.00,153147,0.00,0.00,0.00
12345678,9236074781,01-Abr,P,AR,    17058.00,    17058.00,0.00,7848.30,0.00,    511.74,    24394.56,0.00,   1194.06,153795,0.00,0.00,    511.74
12345678,9236074782,01-Abr,P,AR,    17058.00,    17058.00,0.00,7848.30,0.00,    511.74,    24394.56,0.00,   1194.06,153795,0.00,0.00,    511.74
12345678,9236074783,01-Abr,P,AR,    17058.00,    17058.00,0.00,7848.30,0.00,    511.74,    24394.56,0.00,   1194.06,153795,0.00,0.00,    511.74
12345678,9236074784,01-Abr,P,AR,    15691.00,    15691.00,0.00,7301.60,0.00,    470.73,    22521.87,0.00,   1098.37,153795,0.00,0.00,    470.73
12345678,9236074795,01-Abr,P,AR,    12154.00,0.00,    12154.00,5646.00,0.00,    364.62,     -364.62,0.00,    850.78,153628,0.00,0.00,    364.62
12345678,9236074796,01-Abr,P,AR,    12154.00,0.00,    12154.00,5646.00,0.00,    364.62,     -364.62,0.00,    850.78,153628,0.00,0.00,    364.62
12345678,9236088218,01-Abr,P,AR,     2136.00,     2136.00,0.00,399.20,0.00,     64.08,     2471.12,0.00,0.00,153913,    227.64,0.00,     64.08
12345678,9236088221,01-Abr,P,AR,     4162.00,     4162.00,0.00,706.30,0.00,    124.86,     4743.44,0.00,0.00,153920,    443.57,0.00,    124.86
12345678,9236088222,01-Abr,P,AR,     4162.00,     4162.00,0.00,706.30,0.00,    124.86,     4743.44,0.00,0.00,153920,    443.57,0.00,    124.86
12345678,9236088227,01-Abr,P,AR,     3096.00,0.00,     3096.00,2098.40,0.00,0.00,0.00,0.00,0.00,153851,0.00,0.00,0.00
12345678,9236088228,01-Abr,P,AR,     3096.00,0.00,     3096.00,2098.40,0.00,0.00,0.00,0.00,0.00,153851,0.00,0.00,0.00
12345678,9236057761,30-Mar,P,AZ,     9198.00,0.00,     9198.00,11093.90,0.00,     91.98,      -91.98,0.00,0.00,153775,0.00,0.00,     91.98
